test_season,model,class,bin_lower,bin_upper,n,mean_pred,obs_freq
2025-26,hierarchical,unavailable,0.6,0.7,124,0.6528,0.7339
2025-26,hierarchical,unavailable,0.7,0.8,173,0.7444,0.7803
2025-26,hierarchical,unavailable,0.8,0.9,160,0.8407,0.8375
2025-26,hierarchical,unavailable,0.9,1.0,484,0.9881,0.9938
2025-26,hierarchical,full,0.0,0.1,866,0.0351,0.0358
2025-26,hierarchical,full,0.1,0.2,745,0.1473,0.1732
2025-26,hierarchical,full,0.2,0.3,543,0.2463,0.2413
2025-26,hierarchical,full,0.3,0.4,428,0.3469,0.3294
2025-26,hierarchical,full,0.4,0.5,368,0.4486,0.4457
2025-26,hierarchical,full,0.5,0.6,373,0.5529,0.5818
2025-26,hierarchical,full,0.6,0.7,499,0.6523,0.6433
2025-26,hierarchical,full,0.7,0.8,461,0.7507,0.7462
2025-26,hierarchical,full,0.8,0.9,664,0.8529,0.8298
2025-26,hierarchical,full,0.9,1.0,597,0.9336,0.9045
2025-26,gbm,unavailable,0.0,0.1,2322,0.0421,0.0379
2025-26,gbm,unavailable,0.1,0.2,780,0.1459,0.159
2025-26,gbm,unavailable,0.2,0.3,550,0.2462,0.22
2025-26,gbm,unavailable,0.3,0.4,432,0.3514,0.3403
2025-26,gbm,unavailable,0.4,0.5,288,0.443,0.4444
2025-26,gbm,unavailable,0.5,0.6,186,0.5422,0.5376
2025-26,gbm,unavailable,0.6,0.7,113,0.6503,0.6372
2025-26,gbm,unavailable,0.7,0.8,140,0.7549,0.7214
2025-26,gbm,unavailable,0.8,0.9,252,0.8511,0.869
2025-26,gbm,unavailable,0.9,1.0,481,0.9863,0.9917
2025-26,gbm,full,0.0,0.1,772,0.0353,0.0181
2025-26,gbm,full,0.1,0.2,846,0.1443,0.1418
2025-26,gbm,full,0.2,0.3,524,0.2472,0.2786
2025-26,gbm,full,0.3,0.4,363,0.348,0.3636
2025-26,gbm,full,0.4,0.5,425,0.4495,0.4141
2025-26,gbm,full,0.5,0.6,435,0.5504,0.5471
2025-26,gbm,full,0.6,0.7,439,0.647,0.6743
2025-26,gbm,full,0.7,0.8,589,0.7541,0.7419
2025-26,gbm,full,0.8,0.9,774,0.8515,0.8566
2025-26,gbm,full,0.9,1.0,377,0.9206,0.9204
